University Name_Shanghai,Links_Shanghai,University Name_Links2,Links_Links2,University Name_final,Links_final,University Name_LinksXLSX,Links_LinksXLSX
harvard university,https://www.shanghairanking.com/institution/harvard-university,harvard university,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-48698023,national university of singapore (nus),https://www.nus.edu.sg/,the university of new south wales (unsw sydney),https://www.avondale.edu.au/course/master-of-lifestyle-medicine/
stanford university,https://www.shanghairanking.com/institution/stanford-university,"university of california, berkeley",https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-50018853,national university of singapore (nus),https://www.nus.edu.sg/,the university of new south wales (unsw sydney),https://www.avondale.edu.au/course/master-of-lifestyle-medicine/
massachusetts institute of technology (mit),https://www.shanghairanking.com/institution/massachusetts-institute-of-technology-mit,massachusetts institute of technology,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-68334672,university of colombo,https://cmb.ac.lk/,university of malbourne,https://study.unimelb.edu.au/find/courses/graduate/doctor-of-medicine/
university of cambridge,https://www.shanghairanking.com/institution/university-of-cambridge,university of cambridge,https://www.timeshighereducation.com/student/register-interest/siuk?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-67516113,national university of singapore (nus),https://www.nus.edu.sg/,the university of new south wales (unsw sydney),https://www.avondale.edu.au/course/master-of-lifestyle-medicine/
"university of california, berkeley",https://www.shanghairanking.com/institution/university-of-california-berkeley,"university of california, berkeley",https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-50018853,singapore university of technology and design (sutd),https://www.sutd.edu.sg/,monash university,https://www.monash.edu/study/interest-areas/health
princeton university,https://www.shanghairanking.com/institution/princeton-university,princeton university,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-20795402,national university of singapore (nus),https://www.nus.edu.sg/,the university of new south wales (unsw sydney),https://www.avondale.edu.au/course/master-of-lifestyle-medicine/
university of oxford,https://www.shanghairanking.com/institution/university-of-oxford,university of oxford,https://www.timeshighereducation.com/student/register-interest/siuk?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-92611101,national university of singapore (nus),https://www.nus.edu.sg/,the university of new south wales (unsw sydney),https://www.avondale.edu.au/course/master-of-lifestyle-medicine/
columbia university,https://www.shanghairanking.com/institution/columbia-university,columbia university,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-62830784,national university of singapore (nus),https://www.nus.edu.sg/,the university of new south wales (unsw sydney),https://www.avondale.edu.au/course/master-of-lifestyle-medicine/
california institute of technology,https://www.shanghairanking.com/institution/california-institute-of-technology,california institute of technology,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-20537945,singapore university of technology and design (sutd),https://www.sutd.edu.sg/,,Not Available
university of chicago,https://www.shanghairanking.com/institution/university-of-chicago,massachusetts institute of technology,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-68334672,national university of singapore (nus),https://www.nus.edu.sg/,the university of new south wales (unsw sydney),https://www.avondale.edu.au/course/master-of-lifestyle-medicine/
yale university,https://www.shanghairanking.com/institution/yale-university,yale university,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-73583889,national university of singapore (nus),https://www.nus.edu.sg/,university of malbourne,https://study.unimelb.edu.au/find/courses/graduate/doctor-of-medicine/
cornell university,https://www.shanghairanking.com/institution/cornell-university,cornell university,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-48987672,national university of singapore (nus),https://www.nus.edu.sg/,the university of new south wales (unsw sydney),https://www.avondale.edu.au/course/master-of-lifestyle-medicine/
"university of california, los angeles",https://www.shanghairanking.com/institution/university-of-california-los-angeles,"university of california, los angeles",https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-95508882,university of colombo,https://cmb.ac.lk/,university of malbourne,https://study.unimelb.edu.au/find/courses/graduate/doctor-of-medicine/
university of pennsylvania,https://www.shanghairanking.com/institution/university-of-pennsylvania,university of pennsylvania,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-31733092,singapore university of technology and design (sutd),https://www.sutd.edu.sg/,the university of new south wales (unsw sydney),https://www.avondale.edu.au/course/master-of-lifestyle-medicine/
paris-saclay university,https://www.shanghairanking.com/institution/paris-saclay-university,yale university,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-73583889,national university of singapore (nus),https://www.nus.edu.sg/,the university of new south wales (unsw sydney),https://www.avondale.edu.au/course/master-of-lifestyle-medicine/
